,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
18,,2633.80,1422.80,2387.90,313.20,250.70,,2020,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2020,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,26355.00,14145.80,11816.70,9533.80,5473.30,,2020,bhartiairtel,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5545.70,-2224.60,-3442.20,-9479.10,-8008.60,,2020,bhartiairtel,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-4276.40,-2009.60,-15023.00,-41541.80,2804.90,,2020,bhartiairtel,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1269.30,-4234.20,-18465.20,-51020.90,-5203.70,,2020,bhartiairtel,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1358.90,-609.20,6732.40,-14932.70,-3374.70,,2020,bhartiairtel,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2020,bhartiairtel,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2020,bhartiairtel,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2020,bhartiairtel,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2020,bhartiairtel,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2836.60,2795.00,2746.00,2727.80,1998.70,,2020,bhartiairtel,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,75639.30,76134.80,74614.10,98347.20,96307.20,,2020,bhartiairtel,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,80.00,60.00,--,40.00,50.00,,2020,bhartiairtel,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2020,bhartiairtel,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-0.16,-6.53,-46.18,-71.08,-4.58,,2020,bhartiairtel,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-0.16,-6.53,-46.18,-71.08,-4.58,,2020,bhartiairtel,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2020,bhartiairtel,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,-0.16,-6.53,-46.18,-71.08,-4.58,,2020,bhartiairtel,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,-0.16,-6.53,-46.18,-71.08,-4.58,,2020,bhartiairtel,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2020,bhartiairtel,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2020,bhartiairtel,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2020,bhartiairtel,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2020,bhartiairtel,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2020,bhartiairtel,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2020,bhartiairtel,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2020,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2021,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2021,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2021,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2021,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2021,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2021,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2021,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2021,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2021,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2021,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2021,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2021,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2021,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2021,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2021,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2021,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2021,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2021,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2633.80,1422.80,2387.90,313.20,250.70,,2021,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2021,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,26355.00,14145.80,11816.70,9533.80,5473.30,,2021,bhartiairtel,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5545.70,-2224.60,-3442.20,-9479.10,-8008.60,,2021,bhartiairtel,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-4276.40,-2009.60,-15023.00,-41541.80,2804.90,,2021,bhartiairtel,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1269.30,-4234.20,-18465.20,-51020.90,-5203.70,,2021,bhartiairtel,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1358.90,-609.20,6732.40,-14932.70,-3374.70,,2021,bhartiairtel,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2021,bhartiairtel,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2021,bhartiairtel,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2021,bhartiairtel,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2021,bhartiairtel,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2836.60,2795.00,2746.00,2727.80,1998.70,,2021,bhartiairtel,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,75639.30,76134.80,74614.10,98347.20,96307.20,,2021,bhartiairtel,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,80.00,60.00,--,40.00,50.00,,2021,bhartiairtel,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2021,bhartiairtel,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-0.16,-6.53,-46.18,-71.08,-4.58,,2021,bhartiairtel,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-0.16,-6.53,-46.18,-71.08,-4.58,,2021,bhartiairtel,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2021,bhartiairtel,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,-0.16,-6.53,-46.18,-71.08,-4.58,,2021,bhartiairtel,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,-0.16,-6.53,-46.18,-71.08,-4.58,,2021,bhartiairtel,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2021,bhartiairtel,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2021,bhartiairtel,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2021,bhartiairtel,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2021,bhartiairtel,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2021,bhartiairtel,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2021,bhartiairtel,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2021,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2022,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2022,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2022,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2022,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2022,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2022,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2022,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2022,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2022,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2022,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2022,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2022,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2022,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2022,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2022,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2022,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2022,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2022,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2633.80,1422.80,2387.90,313.20,250.70,,2022,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2022,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,26355.00,14145.80,11816.70,9533.80,5473.30,,2022,bhartiairtel,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5545.70,-2224.60,-3442.20,-9479.10,-8008.60,,2022,bhartiairtel,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-4276.40,-2009.60,-15023.00,-41541.80,2804.90,,2022,bhartiairtel,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1269.30,-4234.20,-18465.20,-51020.90,-5203.70,,2022,bhartiairtel,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1358.90,-609.20,6732.40,-14932.70,-3374.70,,2022,bhartiairtel,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2022,bhartiairtel,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2022,bhartiairtel,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2022,bhartiairtel,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2022,bhartiairtel,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2836.60,2795.00,2746.00,2727.80,1998.70,,2022,bhartiairtel,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,75639.30,76134.80,74614.10,98347.20,96307.20,,2022,bhartiairtel,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,80.00,60.00,--,40.00,50.00,,2022,bhartiairtel,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2022,bhartiairtel,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-0.16,-6.53,-46.18,-71.08,-4.58,,2022,bhartiairtel,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-0.16,-6.53,-46.18,-71.08,-4.58,,2022,bhartiairtel,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2022,bhartiairtel,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,-0.16,-6.53,-46.18,-71.08,-4.58,,2022,bhartiairtel,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,-0.16,-6.53,-46.18,-71.08,-4.58,,2022,bhartiairtel,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2022,bhartiairtel,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2022,bhartiairtel,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2022,bhartiairtel,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2022,bhartiairtel,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2022,bhartiairtel,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2022,bhartiairtel,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2022,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2023,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2023,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2023,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2023,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2023,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2023,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2023,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2023,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2023,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2023,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2023,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2023,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2023,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2023,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2023,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2023,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2023,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2633.80,1422.80,2387.90,313.20,250.70,,2023,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2023,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
